run,node_id,num_nodes,num_txn_workers,num_txns,cc_scheme,use_switch,switch_no_conflict,ycsb_opti_test,lm_on_switch,csv_file_cycles,csv_file_periodic,workload,ycsb_table_size,ycsb_write_prob,ycsb_hot_size,ycsb_hot_prob,ycsb_remote_prob,tpcc_num_warehouses,tpcc_num_districts,tpcc_home_w_id,new_order_remote_prob,payment_remote_prob,smallbank_table_size,smallbank_hot_prob,smallbank_remote_prob,smallbank_hot_size,micro_recirc_prob,local_read_lock_failed,local_write_lock_failed,local_lock_success,local_lock_waiting,remote_lock_failed,remote_lock_success,remote_lock_waiting,switch_aborts,tpcc_no_warehouse_read,tpcc_no_district_write,tpcc_no_customer_read,tpcc_no_warehouse_f_get,tpcc_no_district_f_get,tpcc_no_customer_f_get,tpcc_no_stock_acquired,tpcc_no_commits,tpcc_pay_warehouse_write,tpcc_pay_district_write,tpcc_pay_customer_write,tpcc_pay_warehouse_f_get,tpcc_pay_district_f_get,tpcc_pay_customer_f_get,tpcc_pay_commits,micro_recirc_recircs,ycsb_read_commits,ycsb_write_commits,smallbank_amalgamate_commits,smallbank_balance_commits,smallbank_deposit_checking_commits,smallbank_send_payment_commits,smallbank_write_check_commits,smallbank_transact_saving_commits,total_tps,total_cps,total_commits,total_aborts,total_txns,total_on_switch,avg_duration
0,0,4,20,500000,no_wait,true,false,true,false,cycles.csv,periodic.csv,ycsb,10000000,50,50,100,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1255434,1255434,10000000,0,10000000,10000000,7965367
0,1,4,20,500000,no_wait,true,false,true,false,cycles.csv,periodic.csv,ycsb,10000000,50,50,100,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1256544,1256544,10000000,0,10000000,10000000,7958336
0,2,4,20,500000,no_wait,true,false,true,false,cycles.csv,periodic.csv,ycsb,10000000,50,50,100,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1260292,1260292,10000000,0,10000000,10000000,7934663
0,3,4,20,500000,no_wait,true,false,true,false,cycles.csv,periodic.csv,ycsb,10000000,50,50,100,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1260471,1260471,10000000,0,10000000,10000000,7933542
1,0,4,20,500000,no_wait,true,false,true,false,cycles.csv,periodic.csv,ycsb,10000000,50,50,100,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1255146,1255146,10000000,0,10000000,10000000,7967199
1,1,4,20,500000,no_wait,true,false,true,false,cycles.csv,periodic.csv,ycsb,10000000,50,50,100,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1258769,1258769,10000000,0,10000000,10000000,7944267
1,2,4,20,500000,no_wait,true,false,true,false,cycles.csv,periodic.csv,ycsb,10000000,50,50,100,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1258153,1258153,10000000,0,10000000,10000000,7948155
1,3,4,20,500000,no_wait,true,false,true,false,cycles.csv,periodic.csv,ycsb,10000000,50,50,100,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1261371,1261371,10000000,0,10000000,10000000,7927881
2,0,4,20,500000,no_wait,true,false,true,false,cycles.csv,periodic.csv,ycsb,10000000,50,50,100,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1338879,1338879,10000000,0,10000000,10000000,7468930
2,1,4,20,500000,no_wait,true,false,true,false,cycles.csv,periodic.csv,ycsb,10000000,50,50,100,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1339132,1339132,10000000,0,10000000,10000000,7467522
