run,node_id,num_nodes,num_txn_workers,num_txns,cc_scheme,use_switch,switch_no_conflict,ycsb_opti_test,lm_on_switch,csv_file_cycles,csv_file_periodic,workload,ycsb_table_size,ycsb_write_prob,ycsb_hot_size,ycsb_hot_prob,ycsb_remote_prob,tpcc_num_warehouses,tpcc_num_districts,tpcc_home_w_id,new_order_remote_prob,payment_remote_prob,smallbank_table_size,smallbank_hot_prob,smallbank_remote_prob,smallbank_hot_size,micro_recirc_prob,local_read_lock_failed,local_write_lock_failed,local_lock_success,local_lock_waiting,remote_lock_failed,remote_lock_success,remote_lock_waiting,switch_aborts,tpcc_no_warehouse_read,tpcc_no_district_write,tpcc_no_customer_read,tpcc_no_warehouse_f_get,tpcc_no_district_f_get,tpcc_no_customer_f_get,tpcc_no_stock_acquired,tpcc_no_commits,tpcc_pay_warehouse_write,tpcc_pay_district_write,tpcc_pay_customer_write,tpcc_pay_warehouse_f_get,tpcc_pay_district_f_get,tpcc_pay_customer_f_get,tpcc_pay_commits,micro_recirc_recircs,ycsb_read_commits,ycsb_write_commits,smallbank_amalgamate_commits,smallbank_balance_commits,smallbank_deposit_checking_commits,smallbank_send_payment_commits,smallbank_write_check_commits,smallbank_transact_saving_commits,total_tps,total_cps,total_commits,total_aborts,total_txns,total_on_switch,avg_duration
0,0,4,20,500000,no_wait,true,false,true,false,cycles.csv,periodic.csv,ycsb,10000000,50,50,100,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1087463,1087463,10000000,0,10000000,10000000,9195712
0,1,4,20,500000,no_wait,true,false,true,false,cycles.csv,periodic.csv,ycsb,10000000,50,50,100,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1426365,1426365,10000000,0,10000000,10000000,7010828
0,2,4,20,500000,no_wait,true,false,true,false,cycles.csv,periodic.csv,ycsb,10000000,50,50,100,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,682176,682176,10000000,0,10000000,10000000,14658970
0,3,4,20,500000,no_wait,true,false,true,false,cycles.csv,periodic.csv,ycsb,10000000,50,50,100,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1415454,1415454,10000000,0,10000000,10000000,7064869
1,0,4,20,500000,no_wait,true,false,true,false,cycles.csv,periodic.csv,ycsb,10000000,50,50,100,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1312281,1312281,10000000,0,10000000,10000000,7620316
1,1,4,20,500000,no_wait,true,false,true,false,cycles.csv,periodic.csv,ycsb,10000000,50,50,100,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1315925,1315925,10000000,0,10000000,10000000,7599212
1,2,4,20,500000,no_wait,true,false,true,false,cycles.csv,periodic.csv,ycsb,10000000,50,50,100,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1315657,1315657,10000000,0,10000000,10000000,7600761
1,3,4,20,500000,no_wait,true,false,true,false,cycles.csv,periodic.csv,ycsb,10000000,50,50,100,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1316678,1316678,10000000,0,10000000,10000000,7594870
2,0,4,20,500000,no_wait,true,false,true,false,cycles.csv,periodic.csv,ycsb,10000000,50,50,100,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1304274,1304274,10000000,0,10000000,10000000,7667097
2,1,4,20,500000,no_wait,true,false,true,false,cycles.csv,periodic.csv,ycsb,10000000,50,50,100,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1317530,1317530,10000000,0,10000000,10000000,7589958
2,2,4,20,500000,no_wait,true,false,true,false,cycles.csv,periodic.csv,ycsb,10000000,50,50,100,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1317982,1317982,10000000,0,10000000,10000000,7587354
2,3,4,20,500000,no_wait,true,false,true,false,cycles.csv,periodic.csv,ycsb,10000000,50,50,100,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1317279,1317279,10000000,0,10000000,10000000,7591402
0,0,4,20,500000,no_wait,true,false,false,false,cycles.csv,periodic.csv,ycsb,10000000,50,50,100,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,483477,483477,10000000,0,10000000,10000000,20683482
0,1,4,20,500000,no_wait,true,false,false,false,cycles.csv,periodic.csv,ycsb,10000000,50,50,100,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,483756,483756,10000000,0,10000000,10000000,20671542
0,2,4,20,500000,no_wait,true,false,false,false,cycles.csv,periodic.csv,ycsb,10000000,50,50,100,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,483865,483865,10000000,0,10000000,10000000,20666890
0,3,4,20,500000,no_wait,true,false,false,false,cycles.csv,periodic.csv,ycsb,10000000,50,50,100,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,483956,483956,10000000,0,10000000,10000000,20663017
1,0,4,20,500000,no_wait,true,false,false,false,cycles.csv,periodic.csv,ycsb,10000000,50,50,100,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,483579,483579,10000000,0,10000000,10000000,20679118
1,1,4,20,500000,no_wait,true,false,false,false,cycles.csv,periodic.csv,ycsb,10000000,50,50,100,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,483879,483879,10000000,0,10000000,10000000,20666289
1,2,4,20,500000,no_wait,true,false,false,false,cycles.csv,periodic.csv,ycsb,10000000,50,50,100,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,484150,484150,10000000,0,10000000,10000000,20654751
1,3,4,20,500000,no_wait,true,false,false,false,cycles.csv,periodic.csv,ycsb,10000000,50,50,100,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,484092,484092,10000000,0,10000000,10000000,20657224
2,0,4,20,500000,no_wait,true,false,false,false,cycles.csv,periodic.csv,ycsb,10000000,50,50,100,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,483452,483452,10000000,0,10000000,10000000,20684558
